timestep,time_s,E1_key_x,E1_key_y,E1_key_z,E2_key_x,E2_key_y,E2_key_z,E3_key_x,E3_key_y,E3_key_z,E4_non_key_x,E4_non_key_y,E4_non_key_z,E5_non_key_x,E5_non_key_y,E5_non_key_z,E6_non_key_x,E6_non_key_y,E6_non_key_z,E7_non_key_x,E7_non_key_y,E7_non_key_z,E8_non_key_x,E8_non_key_y,E8_non_key_z,E9_non_key_x,E9_non_key_y,E9_non_key_z,F1_x,F1_y,F1_z,F1_action,F1_action_name,F2_x,F2_y,F2_z,F2_action,F2_action_name,F3_x,F3_y,F3_z,F3_action,F3_action_name
12,6.0,184.424963,90.097027,51.530515,117.253405,4.950241,58.708257,181.538248,153.626351,11.568836,161.843725,96.971346,31.878147,110.468027,1.986740,19.886010,198.777209,173.220281,29.961558,196.878571,179.819811,27.480068,94.864429,56.622387,54.745137,115.191048,37.120811,49.772240,180.244601,83.257440,48.222200,9,+x,121.892516,1.000000,56.343801,19,-x+z,161.291117,164.034891,8.725974,15,+x-y
13,6.5,186.855860,89.542640,51.347773,117.557661,2.468827,58.711580,183.840030,152.661825,11.715433,164.306437,97.051024,32.300874,108.188175,2.973480,19.605613,199.000000,173.059146,30.286162,194.757143,180.954538,28.159726,93.344582,58.498555,55.393257,115.901156,39.505963,49.533918,183.244601,83.257440,48.222200,9,+x,119.771195,1.000000,58.465121,19,-x+z,163.412438,161.913570,8.725974,15,+x-y
14,7.0,189.286757,88.988254,51.165030,117.861917,1.000000,58.714904,186.141812,151.697300,11.862030,166.769150,97.130702,32.723601,105.908324,3.960220,19.325217,196.526406,172.898010,30.610766,192.635714,182.089265,28.839385,91.824735,60.374723,56.041376,116.611263,41.891115,49.295596,186.244601,83.257440,48.222200,10,+x+z,117.649875,1.000000,59.000000,3,+y,165.533758,159.792250,8.725974,15,+x-y
15,7.5,191.717654,88.433867,50.982288,118.166173,3.481414,58.718228,188.443594,150.732774,12.008628,169.231862,97.210381,33.146327,103.628473,4.946960,19.044821,194.052812,172.736875,30.935370,190.514286,183.223992,29.519044,90.304888,62.250891,56.689496,117.321370,44.276267,49.057273,188.365921,83.257440,50.343521,14,+x+y-z,117.649875,4.000000,59.000000,3,+y,167.655078,157.670930,8.725974,15,+x-y
16,8.0,194.170094,88.002937,50.759048,118.254254,5.971120,58.509404,190.781025,149.847087,12.053045,171.659894,97.748205,33.402080,101.208778,5.571384,18.972890,191.788362,171.735715,31.281705,188.974912,185.089025,30.153064,89.625225,64.428435,57.712412,118.665621,46.376115,48.873888,190.097972,84.989490,48.611470,10,+x+z,117.649875,7.000000,59.000000,3,+y,169.776399,155.549609,8.725974,15,+x-y
17,8.5,196.622534,87.572008,50.535807,118.342334,8.460826,58.300580,193.118456,148.961399,12.097461,174.087925,98.286029,33.657833,98.789084,6.195807,18.900958,189.523913,170.734556,31.628039,187.435538,186.954057,30.787084,88.945561,66.605980,58.735328,120.009871,48.475963,48.690502,192.219292,84.989490,50.732790,14,+x+y-z,117.649875,10.000000,59.000000,3,+y,171.897719,153.428289,8.725974,15,+x-y
18,9.0,199.000000,87.141078,50.312567,118.430415,10.950531,58.091757,195.455888,148.075712,12.141878,176.515956,98.823853,33.913586,96.369389,6.820231,18.829027,187.259464,169.733396,31.974374,185.896164,188.819090,31.421105,88.265898,68.783525,59.000000,121.354121,50.575811,48.507116,193.951343,86.721541,49.000739,10,+x+z,117.649875,13.000000,59.000000,3,+y,174.019039,151.306969,8.725974,15,+x-y
19,9.5,196.547560,86.710148,50.089326,118.518495,13.440237,57.882933,197.793319,147.190025,12.186295,178.943987,99.361677,34.169339,93.949695,7.444654,18.757096,184.995014,168.732236,32.320709,184.356791,190.684122,32.055125,87.586234,70.961069,57.977084,122.698371,52.675659,48.323731,196.072663,86.721541,51.122060,24,-x-y,117.649875,16.000000,59.000000,3,+y,176.140360,149.185648,8.725974,15,+x-y
20,10.0,194.340647,85.597310,49.713654,118.007555,15.870333,57.593842,199.000000,146.436674,12.350639,181.293666,100.056965,34.664902,91.488064,7.880754,18.743240,182.773760,167.677766,32.772512,182.786360,192.560861,32.566596,88.681845,73.024054,57.086168,124.888587,53.859417,48.096415,193.951343,84.600221,51.122060,24,-x-y,117.649875,19.000000,59.000000,3,+y,178.261680,147.064328,8.725974,15,+x-y
21,10.5,192.133735,84.484472,49.337981,117.496614,18.300429,57.304751,196.621880,145.683324,12.514984,183.643345,100.752254,35.160465,89.026434,8.316855,18.729384,180.552507,166.623297,33.224316,181.215930,194.437599,33.078066,89.777455,75.087039,56.195252,127.078802,55.043175,47.869100,191.830023,82.478900,51.122060,26,-x-y-z,117.649875,22.000000,59.000000,3,+y,180.383000,144.943008,8.725974,15,+x-y
