update,rollout_steps,batch_size,completed_episodes,episode_return_sum,average_step_reward,actor_loss,critic_loss,entropy,eval_avg_return,eval_std_return,eval_avg_length
1.0,128.0,384.0,3.0,68.10894590616226,0.5321011543273926,-0.005519263291110595,2.679648337264856,3.2928094963232675,17.013380136224153,0.9306269190352685,40.0
2.0,128.0,384.0,4.0,76.01106747984886,0.5938364863395691,-0.005941612413153052,1.440678594013055,3.291656712690989,17.013380136224153,0.9306269190352685,40.0
3.0,128.0,384.0,3.0,71.1073808670044,0.5555264353752136,-0.005566161358729005,0.9328420832753181,3.2899231612682343,17.013380136224153,0.9306269190352685,40.0
4.0,128.0,384.0,3.0,71.10213029384613,0.5554854273796082,-0.007824967382475734,0.5393035200734934,3.291412740945816,17.013380136224153,0.9306269190352685,40.0
5.0,128.0,384.0,3.0,63.08855810761452,0.49287936091423035,-0.006073550243551533,0.5722746277848879,3.2881648242473602,17.013380136224153,0.9306269190352685,40.0
6.0,128.0,384.0,3.0,60.421438336372375,0.4720424711704254,-0.005972902018887301,0.1417025849223137,3.286706864833832,17.013380136224153,0.9306269190352685,40.0
7.0,128.0,384.0,4.0,67.72231814265251,0.5290806293487549,-0.004335208175083001,0.2696461609254281,3.2859937449296317,17.013380136224153,0.9306269190352685,40.0
8.0,128.0,384.0,3.0,67.77700006961823,0.5295078158378601,-0.006478394924973448,0.24750425604482493,3.2813231547673545,17.013380136224153,0.9306269190352685,40.0
9.0,128.0,384.0,3.0,74.83573213219643,0.5846541523933411,-0.005559739035864671,0.507681048164765,3.275121579567591,17.013380136224153,0.9306269190352685,40.0
10.0,128.0,384.0,3.0,70.84455770254135,0.5534731149673462,-0.008957241739456853,0.5229670045276483,3.2751124600569406,17.013380136224153,0.9306269190352685,40.0
11.0,128.0,384.0,3.0,69.85117074847221,0.5457122921943665,-0.0093913651847591,0.31381977287431556,3.2747333645820618,17.013380136224153,0.9306269190352685,40.0
12.0,128.0,384.0,4.0,67.95197236537933,0.5308747887611389,-0.00740836514160037,0.14532529780020317,3.27171582976977,17.013380136224153,0.9306269190352685,40.0
13.0,128.0,384.0,3.0,64.07365837693214,0.5005754828453064,-0.006791980704292655,0.3220341522246599,3.2724918524424234,17.013380136224153,0.9306269190352685,40.0
14.0,128.0,384.0,3.0,60.42545801401138,0.47207391262054443,-0.005634075573955973,0.2167082093656063,3.26772341132164,17.013380136224153,0.9306269190352685,40.0
15.0,128.0,384.0,3.0,67.74997428059578,0.5292966365814209,-0.0073576100791494055,0.17713199369609356,3.2577293316523233,17.013380136224153,0.9306269190352685,40.0
16.0,128.0,384.0,3.0,63.58105853199959,0.49672698974609375,-0.0060967691242694855,0.31757492385804653,3.2557857632637024,17.013380136224153,0.9306269190352685,40.0
17.0,128.0,384.0,4.0,78.99125358462334,0.6171191334724426,-0.008194186414281527,0.4868709755440553,3.2541099786758423,17.013380136224153,0.9306269190352685,40.0
18.0,128.0,384.0,3.0,66.4084038734436,0.5188156366348267,-0.015106841766585907,0.14718799044688544,3.227397471666336,17.013380136224153,0.9306269190352685,40.0
19.0,128.0,384.0,3.0,71.64756038784981,0.5597465634346008,-0.009377788752317429,0.24387669252852598,3.2062943478425345,17.013380136224153,0.9306269190352685,40.0
20.0,128.0,384.0,3.0,74.57388949394226,0.5826084613800049,-0.00970020703971386,0.26550316624343395,3.167708138624827,17.013380136224153,0.9306269190352685,40.0
21.0,128.0,384.0,3.0,71.9289630651474,0.5619450211524963,-0.018542406614869833,0.30462794316311675,3.108847369750341,17.013380136224153,0.9306269190352685,40.0
22.0,128.0,384.0,4.0,67.86106356978416,0.5301645398139954,-0.010739581271385154,0.19955981895327568,3.1240666011969247,17.013380136224153,0.9306269190352685,40.0
23.0,128.0,384.0,3.0,79.69233474135399,0.6225963234901428,-0.011425156379118562,0.37365414823095006,3.13838862379392,17.013380136224153,0.9306269190352685,40.0
24.0,128.0,384.0,3.0,70.85133674740791,0.5535261034965515,-0.013306984677910805,0.2512513780966401,3.1421113908290863,17.013380136224153,0.9306269190352685,40.0
25.0,128.0,384.0,3.0,84.0260260105133,0.6564533114433289,-0.00698884972371161,0.5270327342053255,3.0811232725779214,17.013380136224153,0.9306269190352685,40.0
26.0,128.0,384.0,3.0,87.50501874089241,0.6836329102516174,-0.019053096882998943,0.38895267620682716,3.17422882715861,17.013380136224153,0.9306269190352685,40.0
27.0,128.0,384.0,4.0,77.64066618680954,0.6065676808357239,-0.012528431136161089,0.22322234821816286,3.210539291302363,17.013380136224153,0.9306269190352685,40.0
28.0,128.0,384.0,3.0,72.68021035194397,0.5678141713142395,-0.014996969451506933,0.26923632932205993,3.2033294339974723,17.013380136224153,0.9306269190352685,40.0
29.0,128.0,384.0,3.0,70.18443354964256,0.5483158826828003,-0.01330702876051267,0.21859589839975038,3.2007410327593484,17.013380136224153,0.9306269190352685,40.0
30.0,128.0,384.0,3.0,72.84889358282089,0.5691320300102234,-0.007059871451929212,0.1858087256550789,3.167120893796285,17.013380136224153,0.9306269190352685,40.0
31.0,128.0,384.0,3.0,88.51127025485039,0.6914942860603333,-0.010802412172779441,0.6157119038204352,3.139616698026657,17.013380136224153,0.9306269190352685,40.0
32.0,128.0,384.0,4.0,87.59923827648163,0.6843690276145935,-0.014225332687298456,0.4981283942858378,3.14656193057696,17.013380136224153,0.9306269190352685,40.0
33.0,128.0,384.0,3.0,78.8614796102047,0.616105318069458,-0.01808751894471546,0.2598356306552887,3.106701652208964,17.013380136224153,0.9306269190352685,40.0
34.0,128.0,384.0,3.0,65.8095021545887,0.5141367316246033,-0.017899639361227553,0.2794781817744176,3.0377218226591745,17.013380136224153,0.9306269190352685,40.0
35.0,128.0,384.0,3.0,77.694719851017,0.6069900393486023,-0.015404506431271633,0.2222747690975666,2.9907393753528595,17.013380136224153,0.9306269190352685,40.0
36.0,128.0,384.0,3.0,74.58178082108498,0.5826701521873474,-0.015976163558661938,0.2636050110061963,3.0706998705863953,17.013380136224153,0.9306269190352685,40.0
37.0,128.0,384.0,4.0,66.28981614112854,0.5178892016410828,-0.01234908246745666,0.3382784475882848,3.1177642246087394,17.013380136224153,0.9306269190352685,40.0
38.0,128.0,384.0,3.0,73.08220881223679,0.5709547400474548,-0.01032812202659746,0.35376798175275326,3.096433162689209,17.013380136224153,0.9306269190352685,40.0
39.0,128.0,384.0,3.0,87.05372396111488,0.6801072955131531,-0.018415751013283927,0.5366589563588301,3.0404244462649026,17.013380136224153,0.9306269190352685,40.0
40.0,128.0,384.0,3.0,64.53762370347977,0.5042001605033875,-0.011450899221623937,0.21835154170791307,3.0331866244475045,17.013380136224153,0.9306269190352685,40.0
