timestep,time_s,E1_key_x,E1_key_y,E1_key_z,E2_key_x,E2_key_y,E2_key_z,E3_key_x,E3_key_y,E3_key_z,E4_non_key_x,E4_non_key_y,E4_non_key_z,E5_non_key_x,E5_non_key_y,E5_non_key_z,E6_non_key_x,E6_non_key_y,E6_non_key_z,E7_non_key_x,E7_non_key_y,E7_non_key_z,E8_non_key_x,E8_non_key_y,E8_non_key_z,E9_non_key_x,E9_non_key_y,E9_non_key_z,F1_x,F1_y,F1_z,F1_action,F1_action_name,F2_x,F2_y,F2_z,F2_action,F2_action_name,F3_x,F3_y,F3_z,F3_action,F3_action_name
12,6.0,184.424963,90.097027,51.530515,117.253405,4.950241,58.708257,181.538248,153.626351,11.568836,173.016529,92.176726,44.345856,114.596103,2.964104,38.716102,178.661961,145.210749,3.047014,190.144590,165.048766,20.589211,106.748842,19.958685,52.214343,125.745433,30.780387,52.976835,190.337806,73.847782,59.000000,15,+x-y,169.560690,1.000000,56.192177,15,+x-y,146.405830,129.249638,46.766101,7,-y+z
13,6.5,186.855860,89.542640,51.347773,117.557661,2.468827,58.711580,183.840030,152.661825,11.715433,175.479242,92.256405,44.768582,115.063702,1.000000,38.435706,181.135555,145.049614,3.371617,192.547423,164.928530,21.268869,105.228995,21.834852,52.862462,126.455540,33.165539,52.738512,192.459126,71.726462,59.000000,15,+x-y,171.682011,1.000000,56.192177,15,+x-y,146.405830,127.128318,48.887422,7,-y+z
14,7.0,189.286757,88.988254,51.165030,117.861917,1.000000,58.714904,186.141812,151.697300,11.862030,177.941954,92.336083,45.191309,115.531300,3.439822,38.155309,183.609149,144.888478,3.696221,194.950256,164.808293,21.948528,103.709147,23.711020,53.510582,127.165647,35.550691,52.500190,194.580446,69.605141,59.000000,15,+x-y,173.803331,1.000000,56.192177,15,+x-y,146.405830,125.006998,51.008742,7,-y+z
15,7.5,191.717654,88.433867,50.982288,118.166173,3.481414,58.718228,188.443594,150.732774,12.008628,180.404667,92.415762,45.614036,115.998898,5.879643,37.874913,186.082743,144.727343,4.020825,197.353089,164.688057,22.628186,102.189300,25.587188,54.158701,127.875755,37.935843,52.261868,196.701767,67.483821,59.000000,15,+x-y,175.924651,1.000000,56.192177,15,+x-y,146.405830,122.885677,53.130062,7,-y+z
16,8.0,194.170094,88.002937,50.759048,118.254254,5.971120,58.509404,190.781025,149.847087,12.053045,182.832698,92.953586,45.869788,115.745118,8.365689,37.802982,188.558360,144.690287,4.367160,199.000000,164.279991,23.262207,101.509637,27.764733,55.181617,129.220005,40.035690,52.078482,198.823087,65.362501,59.000000,15,+x-y,178.045972,1.000000,56.192177,15,+x-y,146.405830,120.764357,55.251383,7,-y+z
17,8.5,196.622534,87.572008,50.535807,118.342334,8.460826,58.300580,193.118456,148.961399,12.097461,185.260729,93.491410,46.125541,115.491338,10.851734,37.731051,191.033977,144.653230,4.713495,196.616410,163.871925,23.896227,100.829973,29.942277,56.204533,130.564255,42.135538,51.895096,199.000000,63.241180,59.000000,15,+x-y,180.167292,1.000000,56.192177,15,+x-y,146.405830,118.643037,57.372703,7,-y+z
18,9.0,199.000000,87.141078,50.312567,118.430415,10.950531,58.091757,195.455888,148.075712,12.141878,187.688761,94.029234,46.381294,115.237558,13.337779,37.659120,193.509594,144.616174,5.059829,194.232820,163.463859,24.530248,100.150310,32.119822,57.227449,131.908505,44.235386,51.711711,199.000000,61.119860,59.000000,15,+x-y,182.288613,1.000000,56.192177,15,+x-y,146.405830,116.521716,59.000000,7,-y+z
19,9.5,196.547560,86.710148,50.089326,118.518495,13.440237,57.882933,197.793319,147.190025,12.186295,190.116792,94.567058,46.637047,114.983778,15.823825,37.587188,195.985211,144.579117,5.406164,191.849231,163.055793,25.164268,99.470646,34.297367,58.250365,133.252755,46.335234,51.528325,199.000000,58.998540,59.000000,15,+x-y,184.409933,1.000000,56.192177,15,+x-y,146.405830,114.400396,59.000000,7,-y+z
20,10.0,194.340647,85.597310,49.713654,118.007555,15.870333,57.593842,199.000000,146.436674,12.350639,192.466471,95.262346,47.132610,114.243580,18.211693,37.573332,198.361994,143.949219,5.857968,189.976913,161.480094,25.675739,100.553220,36.335804,59.000000,135.442971,47.518992,51.301010,199.000000,56.877219,59.000000,15,+x-y,186.531253,1.000000,56.192177,15,+x-y,146.405830,112.279076,59.000000,7,-y+z
21,10.5,192.133735,84.484472,49.337981,117.496614,18.300429,57.304751,196.621880,145.683324,12.514984,194.816150,95.957634,47.628174,113.503381,20.599561,37.559476,199.000000,143.319321,6.309771,188.104596,159.904396,26.187209,101.635795,38.374242,58.039373,137.633187,48.702750,51.073694,199.000000,54.755899,59.000000,15,+x-y,188.652574,1.000000,56.192177,15,+x-y,146.405830,110.157755,59.000000,15,+x-y
22,11.0,189.926823,83.371634,48.962309,116.985673,20.730525,57.015659,194.243760,144.929973,12.679328,197.165829,96.652922,48.123737,112.763182,22.987429,37.545620,196.623216,142.689422,6.761574,186.232279,158.328697,26.698679,102.718369,40.412680,57.078745,139.823402,49.886508,50.846379,199.000000,52.634579,59.000000,15,+x-y,190.773894,1.000000,56.192177,15,+x-y,148.527150,108.036435,59.000000,15,+x-y
23,11.5,187.719911,82.258796,48.586636,116.474732,23.160620,56.726568,191.865640,144.176623,12.843672,199.000000,97.348210,48.619300,112.022983,25.375297,37.531764,194.246432,142.059524,7.213378,184.359961,156.752998,27.210149,103.800943,42.451117,56.118118,142.013618,51.070266,50.619064,199.000000,50.513258,59.000000,15,+x-y,192.895214,1.000000,56.192177,15,+x-y,150.648471,105.915115,59.000000,7,-y+z
24,12.0,186.220708,80.264588,48.426870,115.228304,25.318073,56.522073,189.890406,142.646247,12.923656,196.761831,98.325652,49.153350,111.689446,27.852618,37.491335,192.099763,140.945616,7.846639,184.083294,154.269612,27.131102,105.429606,44.065473,55.122472,144.490329,51.283236,50.353456,199.000000,48.391938,59.000000,15,+x-y,195.016535,1.000000,56.192177,15,+x-y,150.648471,103.793794,59.000000,7,-y+z
25,12.5,184.721505,78.270380,48.267104,113.981876,27.475525,56.317578,187.915171,141.115871,13.003641,194.523663,99.303094,49.687401,111.355909,30.329938,37.450906,189.953094,139.831708,8.479901,183.806627,151.786226,27.052056,107.058269,45.679829,54.126826,146.967040,51.496206,50.087849,199.000000,46.270617,59.000000,15,+x-y,197.137855,1.000000,56.192177,15,+x-y,150.648471,101.672474,59.000000,7,-y+z
26,13.0,183.222303,76.276172,48.107338,112.735449,29.632977,56.113083,185.939937,139.585495,13.083625,192.285494,100.280535,50.221451,111.022372,32.807259,37.410477,187.806424,138.717801,9.113163,183.529960,149.302840,26.973009,108.686932,47.294185,53.131179,149.443750,51.709176,49.822241,199.000000,44.149297,59.000000,15,+x-y,199.000000,1.000000,56.192177,15,+x-y,150.648471,99.551154,59.000000,15,+x-y
27,13.5,181.723100,74.281964,47.947571,111.489021,31.790429,55.908588,183.964702,138.055119,13.163610,190.047326,101.257977,50.755501,110.688835,35.284580,37.370049,185.659755,137.603893,9.746424,183.253293,146.819454,26.893963,110.315595,48.908541,52.135533,151.920461,51.922146,49.556634,199.000000,42.027977,59.000000,7,-y+z,199.000000,1.000000,56.192177,15,+x-y,152.769791,97.429833,59.000000,7,-y+z
28,14.0,180.730543,71.990165,48.059323,110.366619,34.021301,55.792728,182.063985,136.437851,13.016235,188.548526,103.198907,51.241698,110.295547,37.753332,37.345795,184.385760,135.465808,9.982072,183.231496,144.330873,26.656286,112.386299,49.772354,51.032803,154.186521,50.941025,49.166281,199.000000,39.906656,59.000000,15,+x-y,199.000000,1.000000,56.192177,15,+x-y,152.769791,95.308513,59.000000,7,-y+z
29,14.5,179.737985,69.698366,48.171075,109.244217,36.252173,55.676868,180.163269,134.820582,12.868860,187.049726,105.139838,51.727895,109.902259,40.222084,37.321541,183.111765,133.327723,10.217720,183.209698,141.842292,26.418609,114.457003,50.636166,49.930073,156.452580,49.959903,48.775929,199.000000,37.785336,59.000000,15,+x-y,199.000000,1.000000,56.192177,15,+x-y,152.769791,93.187193,59.000000,7,-y+z
30,15.0,178.745428,67.406568,48.282826,108.121815,38.483045,55.561007,178.262552,133.203314,12.721486,185.550926,107.080769,52.214091,109.508972,42.690836,37.297288,181.837770,131.189638,10.453367,183.187900,139.353711,26.180932,116.527707,51.499978,48.827343,158.718640,48.978782,48.385577,199.000000,35.664016,59.000000,15,+x-y,199.000000,1.000000,56.192177,15,+x-y,152.769791,91.065872,59.000000,7,-y+z
